Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2023,2023,12,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1402.059975308642,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2024,2024,1,,Freight,IHS (M-1),,Freight,Yes,118.9348148148148,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2024,2024,1,,Fx (M-1),IHS (M-1),,Fx,No,4.8972,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2024,2024,1,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3600,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2024,2024,1,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,863.13,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2024,2024,1,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6974.278574339999,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2024,2024,1,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1424.13595,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,February 2024,2024,2,,Freight,IHS (M-1),,Freight,Yes,116.661975308642,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,February 2024,2024,2,,Fx (M-1),IHS (M-1),,Fx,No,4.9144,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,February 2024,2024,2,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3600,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,February 2024,2024,2,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,889.38,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,February 2024,2024,2,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7168.412657679999,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,February 2024,2024,2,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1458.6547,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,March 2024,2024,3,,Freight,IHS (M-1),,Freight,Yes,118.339012345679,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,March 2024,2024,3,,Fx (M-1),IHS (M-1),,Fx,No,4.9644,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,March 2024,2024,3,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3650,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,March 2024,2024,3,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,906.5,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,March 2024,2024,3,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7353.107937,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,March 2024,2024,3,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1481.1675,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2024,2024,4,,Freight,IHS (M-1),,Freight,Yes,134.376049382716,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2024,2024,4,,Fx (M-1),IHS (M-1),,Fx,No,4.9801,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2024,2024,4,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3700,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2024,2024,4,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,891.88,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2024,2024,4,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7280.61835022,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2024,2024,4,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1461.9422,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2024,2024,5,,Freight,IHS (M-1),,Freight,Yes,194.7266666666667,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2024,2024,5,,Fx (M-1),IHS (M-1),,Fx,No,5.1291,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2024,2024,5,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3750,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2024,2024,5,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,898.13,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
