source_file,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,value_source_column,value_source_header_cell,value,raw_value_text,formula
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,68,C68,B68,01-Jul-2026,2026-07-01,July 2026,2026,7,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,941.0,941.00,941.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,69,C69,B69,01-Aug-2026,2026-08-01,August 2026,2026,8,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,883.0,883.00,883.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,70,C70,B70,01-Sep-2026,2026-09-01,September 2026,2026,9,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,864.0,864.00,864.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,71,C71,B71,01-Oct-2026,2026-10-01,October 2026,2026,10,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,838.0,838.00,838.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,72,C72,B72,01-Nov-2026,2026-11-01,November 2026,2026,11,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,811.0,811.00,811.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,73,C73,B73,01-Dec-2026,2026-12-01,December 2026,2026,12,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,790.0,790.00,790.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,74,C74,B74,01-Jan-2027,2027-01-01,January 2027,2027,1,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,793.0,793.00,793.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,75,C75,B75,01-Feb-2027,2027-02-01,February 2027,2027,2,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,794.0,794.00,794.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,76,C76,B76,01-Mar-2027,2027-03-01,March 2027,2027,3,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,799.0,799.00,799.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,77,C77,B77,01-Apr-2027,2027-04-01,April 2027,2027,4,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,807.0,807.00,807.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,78,C78,B78,01-May-2027,2027-05-01,May 2027,2027,5,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,806.0,806.00,806.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,79,C79,B79,01-Jun-2027,2027-06-01,June 2027,2027,6,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,790.0,790.00,790.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,80,C80,B80,01-Jul-2027,2027-07-01,July 2027,2027,7,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,791.0,791.00,791.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,81,C81,B81,01-Aug-2027,2027-08-01,August 2027,2027,8,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,800.0,800.00,800.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,82,C82,B82,01-Sep-2027,2027-09-01,September 2027,2027,9,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,816.0,816.00,816.00
